Adj Close,action,Stop_loss
17.373699188232422,buy,15.63632926940918
17.24850082397461,sell,15.523650741577148
18.317502975463867,buy,16.485752677917482
17.604835510253906,sell,15.844351959228517
18.307872772216797,buy,16.47708549499512
23.250932693481445,sell,20.9258394241333
25.179868698120117,buy,22.661881828308108
23.636049270629883,sell,21.272444343566896
26.1765079498291,buy,23.55885715484619
24.2664794921875,sell,21.83983154296875
24.44236183166504,buy,21.998125648498537
23.123432159423828,sell,20.811088943481447
26.087209701538086,buy,23.478488731384278
