Adj Close,action,Stop_loss
4.895473957061768,buy,4.405926561355591
4.8709211349487305,sell,4.383829021453858
5.188520908355713,buy,4.669668817520142
4.911314010620117,sell,4.420182609558106
5.099023342132568,buy,4.589121007919312
5.365484714508057,sell,4.828936243057251
5.76259183883667,buy,5.186332654953003
5.477379322052002,sell,4.929641389846802
5.668450832366943,buy,5.10160574913025
5.50467586517334,sell,4.954208278656006
5.777634143829346,buy,5.1998707294464115
5.96892786026001,sell,5.372035074234009
6.254099369049072,buy,5.628689432144165
