Adj Close,action,Stop_loss
18.943098068237305,buy,17.048788261413574
18.421300888061523,sell,16.579170799255373
19.692846298217773,buy,17.723561668396
19.013456344604492,sell,17.112110710144044
19.409767150878906,buy,17.468790435791018
17.966064453125,sell,16.1694580078125
19.136123657226562,buy,17.222511291503906
17.98493766784668,sell,16.186443901062013
20.504337310791016,buy,18.453903579711916
19.941696166992188,sell,17.94752655029297
20.683168411254883,buy,18.614851570129396
20.471914291381836,sell,18.42472286224365
16.654382705688477,buy,14.98894443511963
