Adj Close,action,Stop_loss
4.579797267913818,buy,4.121817541122437
4.506226062774658,sell,4.055603456497193
4.837296485900879,buy,4.353566837310791
4.552208423614502,sell,4.096987581253052
3.6677584648132324,buy,3.300982618331909
3.4157748222351074,sell,3.074197340011597
3.8824105262756348,buy,3.4941694736480713
3.3922369480133057,sell,3.0530132532119754
3.5043766498565674,buy,3.1539389848709107
3.4109268188476562,sell,3.0698341369628905
3.616516590118408,buy,3.2548649311065674
3.2800965309143066,sell,2.952086877822876
3.67816162109375,buy,3.3103454589843753
3.4046571254730225,sell,3.0641914129257204
2.3299999237060547,buy,2.0969999313354495
