Adj Close,action,Stop_loss
14.261372566223145,buy,12.835235309600831
13.768267631530762,sell,12.391440868377686
14.34839153289795,buy,12.913552379608154
12.90775203704834,sell,11.616976833343506
13.587172508239746,buy,12.228455257415773
12.32165241241455,sell,11.089487171173095
12.88083553314209,buy,11.59275197982788
12.576011657714844,sell,11.318410491943359
12.872969627380371,buy,11.585672664642335
11.5210599899292,sell,10.36895399093628
12.67416000366211,buy,11.406744003295898
10.964390754699707,sell,9.867951679229737
12.773565292358398,buy,11.496208763122558
