Adj Close,action,Stop_loss
13.699371337890625,buy,12.329434204101563
12.794166564941406,sell,11.514749908447266
12.7661714553833,buy,11.489554309844971
11.926291465759277,sell,10.73366231918335
12.36489486694336,buy,11.128405380249024
14.032364845275879,sell,12.629128360748291
14.725321769714355,buy,13.25278959274292
14.09011173248291,sell,12.68110055923462
15.57226848602295,buy,14.015041637420655
16.390342712402344,sell,14.75130844116211
16.9196834564209,buy,15.227715110778808
16.399967193603516,sell,14.759970474243165
16.53470802307129,buy,14.881237220764161
16.457712173461914,sell,14.811940956115723
16.61170196533203,buy,14.950531768798829
15.899497985839844,sell,14.30954818725586
17.16029167175293,buy,15.444262504577637
15.408653259277344,sell,13.867787933349609
15.399999618530273,buy,13.859999656677246
