Adj Close,action,Stop_loss
22.625272750854492,buy,20.362745475769042
22.705184936523438,sell,20.434666442871094
23.164684295654297,buy,20.848215866088868
22.275653839111328,sell,20.048088455200197
23.734060287475586,buy,21.36065425872803
22.155786514282227,sell,19.940207862854006
20.22789192199707,buy,18.205102729797364
18.749509811401367,sell,16.874558830261233
19.978164672851562,buy,17.980348205566408
19.06915855407715,sell,17.162242698669434
20.747325897216797,buy,18.672593307495116
20.07805633544922,sell,18.070250701904296
20.847217559814453,buy,18.76249580383301
19.948198318481445,sell,17.9533784866333
18.08024024963379,buy,16.272216224670412
17.351037979125977,sell,15.61593418121338
17.181222915649414,buy,15.463100624084474
