Adj Close,action,Stop_loss
15.551323890686035,buy,13.996191501617432
15.276080131530762,sell,13.748472118377686
16.334049224853516,buy,14.700644302368165
15.17286205291748,sell,13.655575847625732
15.688946723937988,buy,14.12005205154419
15.052443504333496,sell,13.547199153900147
16.144821166992188,buy,14.53033905029297
16.27591323852539,sell,14.648321914672852
16.92136573791504,buy,15.229229164123536
16.677629470825195,sell,15.009866523742676
17.157758712768555,buy,15.441982841491699
16.50550651550293,sell,14.854955863952638
16.922222137451172,buy,15.229999923706055
16.14314842224121,sell,14.528833580017091
16.876928329467773,buy,15.189235496520997
