Adj Close,action,Stop_loss
11.542890548706055,buy,10.38860149383545
11.440589904785156,sell,10.296530914306642
8.892724990844727,buy,8.003452491760255
9.037611961364746,sell,8.133850765228273
9.451834678649902,buy,8.506651210784913
9.075268745422363,sell,8.167741870880127
9.263551712036133,buy,8.33719654083252
8.538660049438477,sell,7.684794044494629
9.461250305175781,buy,8.515125274658203
8.448507308959961,sell,7.603656578063965
9.637340545654297,buy,8.673606491088867
8.828544616699219,sell,7.945690155029297
9.744529724121094,buy,8.770076751708984
