Adj Close,action,Stop_loss
19.783802032470703,buy,17.805421829223633
19.597246170043945,sell,17.63752155303955
19.86375617980957,buy,17.877380561828613
19.606128692626953,sell,17.64551582336426
20.69881248474121,buy,18.62893123626709
19.42845916748047,sell,17.485613250732424
21.409503936767578,buy,19.26855354309082
19.20636749267578,sell,17.285730743408205
19.83710479736328,buy,17.853394317626954
26.361326217651367,sell,23.725193595886232
28.096107482910156,buy,25.286496734619142
32.84408950805664,sell,29.559680557250978
34.45027542114258,buy,31.00524787902832
34.79999923706055,sell,31.319999313354494
37.58000183105469,buy,33.82200164794922
35.22999954223633,sell,31.706999588012696
37.31999969482422,buy,33.587999725341795
