Adj Close,action,Stop_loss
25.18871307373047,buy,22.669841766357422
25.669160842895508,sell,23.10224475860596
27.177047729492188,buy,24.45934295654297
24.590845108032227,sell,22.131760597229004
27.302947998046875,buy,24.57265319824219
25.43655776977539,sell,22.892901992797853
26.619220733642578,buy,23.957298660278322
25.410968780517578,sell,22.86987190246582
26.989412307739258,buy,24.290471076965332
24.573030471801758,sell,22.115727424621582
27.174537658691406,buy,24.457083892822265
25.549999237060547,sell,22.994999313354494
26.860000610351562,buy,24.174000549316407
