Adj Close,action,Stop_loss
15.15999984741211,buy,13.6439998626709
14.569999694824219,sell,13.112999725341798
15.520000457763672,buy,13.968000411987305
15.109999656677246,sell,13.598999691009523
14.25,buy,12.825000000000001
13.09000015258789,sell,11.781000137329102
14.399999618530273,buy,12.959999656677246
13.359999656677246,sell,12.023999691009521
12.75,buy,11.475
11.9399995803833,sell,10.745999622344971
12.460000038146973,buy,11.214000034332276
11.6899995803833,sell,10.520999622344972
12.449999809265137,buy,11.204999828338623
11.380000114440918,sell,10.242000102996826
12.859999656677246,buy,11.573999691009522
12.390000343322754,sell,11.15100030899048
12.869999885559082,buy,11.582999897003175
12.710000038146973,sell,11.439000034332276
13.399999618530273,buy,12.059999656677247
