Adj Close,action,Stop_loss
24.73833465576172,buy,22.26450119018555
27.141584396362305,sell,24.427425956726076
28.05912971496582,buy,25.25321674346924
26.786405563354492,sell,24.107765007019044
27.53531837463379,buy,24.78178653717041
25.990724563598633,sell,23.39165210723877
27.72344207763672,buy,24.95109786987305
27.28778839111328,sell,24.559009552001953
30.792823791503906,buy,27.713541412353518
34.44116973876953,sell,30.99705276489258
36.43199157714844,buy,32.7887924194336
35.93428421020508,sell,32.34085578918457
32.220001220703125,buy,28.998001098632812
