Adj Close,action,Stop_loss
25.811748504638672,buy,23.230573654174805
25.24931526184082,sell,22.72438373565674
26.266006469726562,buy,23.639405822753908
25.46149253845215,sell,22.915343284606934
28.096052169799805,buy,25.286446952819826
33.462886810302734,sell,30.11659812927246
37.622962951660156,buy,33.86066665649414
37.439571380615234,sell,33.69561424255371
37.77885055541992,buy,34.00096549987793
37.10029602050781,sell,33.39026641845703
38.1351318359375,buy,34.32161865234375
34.92670822143555,sell,31.43403739929199
33.70538330078125,buy,30.334844970703127
