Adj Close,action,Stop_loss
8.213881492614746,buy,7.392493343353272
8.248648643493652,sell,7.423783779144287
6.886699676513672,buy,6.198029708862305
6.364442825317383,sell,5.727998542785644
6.762773513793945,buy,6.086496162414551
6.514923572540283,sell,5.863431215286255
6.709662914276123,buy,6.038696622848511
6.5060715675354,sell,5.8554644107818605
6.517510414123535,buy,5.865759372711182
6.734132766723633,sell,6.0607194900512695
7.308653354644775,buy,6.577788019180298
6.724714279174805,sell,6.052242851257325
5.398179531097412,buy,4.858361577987671
5.204000949859619,sell,4.683600854873657
5.427306652069092,buy,4.884575986862183
5.058366298675537,sell,4.552529668807984
5.961298942565918,buy,5.365169048309326
5.050000190734863,sell,4.5450001716613775
5.880000114440918,buy,5.292000102996826
