Adj Close,action,Stop_loss
8.680000305175781,buy,7.812000274658203
8.619999885559082,sell,7.757999897003174
8.75,buy,7.875
8.279999732971191,sell,7.451999759674073
9.460000038146973,buy,8.514000034332275
8.279999732971191,sell,7.451999759674073
5.300000190734863,buy,4.770000171661377
5.010000228881836,sell,4.509000205993653
4.289999961853027,buy,3.8609999656677245
4.139999866485596,sell,3.7259998798370364
2.569999933242798,buy,2.312999939918518
2.4200000762939453,sell,2.178000068664551
2.75,buy,2.475
