Adj Close,action,Stop_loss
60.80936813354492,buy,54.72843132019043
58.32270050048828,sell,52.490430450439455
42.243587493896484,buy,38.01922874450684
40.450416564941406,sell,36.405374908447264
42.779998779296875,buy,38.50199890136719
40.0,sell,36.0
42.20000076293945,buy,37.98000068664551
39.959999084472656,sell,35.96399917602539
37.869998931884766,buy,34.08299903869629
36.279998779296875,sell,32.651998901367186
39.20000076293945,buy,35.28000068664551
35.11000061035156,sell,31.599000549316408
39.709999084472656,buy,35.738999176025395
